Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,28.059999,28.250000,26.010000,26.620001,26.620001,9796500
2022-02-21,26.379999,27.020000,24.610001,26.809999,26.809999,8721600
2022-02-28,26.400000,29.080000,25.139999,25.320000,25.320000,16960800
2022-03-07,25.260000,26.629999,23.940001,25.840000,25.840000,8969800
2022-03-14,26.260000,27.340000,25.270000,26.830000,26.830000,7906500
2022-03-21,26.799999,27.080000,24.870001,25.469999,25.469999,7162700
2022-03-28,25.389999,27.030001,24.200001,24.709999,24.709999,8005400
2022-04-04,24.770000,25.590000,23.500000,25.230000,25.230000,11164100
2022-04-11,25.230000,26.500000,25.059999,26.059999,26.059999,5367500
2022-04-18,26.110001,26.959999,23.650000,23.670000,23.670000,9713900
2022-04-25,23.510000,25.000000,23.299999,23.799999,23.799999,7258000
2022-05-02,23.790001,25.129999,23.020000,23.139999,23.139999,7044800
2022-05-09,22.959999,23.660000,21.350000,22.719999,22.719999,7902300
2022-05-16,22.540001,23.660000,19.520000,19.980000,19.980000,11499800
2022-05-23,19.950001,21.780001,17.809999,21.680000,21.680000,27437100
2022-05-30,21.379999,22.350000,20.799999,22.139999,22.139999,12163300
2022-06-06,23.040001,23.200001,21.059999,21.240000,21.240000,12180700
2022-06-13,20.690001,21.750000,19.860001,20.969999,20.969999,25804900
2022-06-20,21.170000,21.400000,19.400000,21.030001,21.030001,10341700
2022-06-27,21.290001,21.510000,18.200001,19.059999,19.059999,9402400
2022-07-04,18.820000,20.450001,18.559999,20.049999,20.049999,8164300
2022-07-11,19.820000,20.100000,18.780001,19.280001,19.280001,8179200
2022-07-18,19.590000,21.639999,19.580000,20.860001,20.860001,8512800
2022-07-25,20.900000,20.959999,18.680000,20.480000,20.480000,9869000
2022-08-01,20.360001,21.280001,19.680000,20.370001,20.370001,8797400
2022-08-08,20.680000,22.330000,20.280001,22.290001,22.290001,9488500
2022-08-15,22.120001,25.070000,22.030001,22.330000,22.330000,12309600
2022-08-22,21.969999,23.170000,21.309999,21.700001,21.700001,16839300
2022-08-29,21.719999,21.740000,19.639999,20.570000,20.570000,8012800
2022-09-05,20.889999,22.590000,20.299999,22.309999,22.309999,10065500
2022-09-12,22.510000,23.170000,20.670000,21.639999,21.639999,11114700
2022-09-19,21.500000,22.080000,20.350000,21.000000,21.000000,10224600
2022-09-26,20.920000,21.520000,18.750000,19.650000,19.650000,10922700
2022-10-03,20.049999,22.049999,19.660000,21.780001,21.780001,7364500
2022-10-10,22.040001,22.950001,20.930000,22.170000,22.170000,9072300
2022-10-17,22.709999,23.740000,22.100000,23.240000,23.240000,10541700
2022-10-24,23.290001,25.100000,22.660000,24.680000,24.680000,9421300
2022-10-31,24.559999,24.809999,22.389999,23.120001,23.120001,7836300
2022-11-07,23.240000,25.430000,22.370001,25.350000,25.350000,8769100
2022-11-14,25.020000,26.639999,23.900000,26.040001,26.040001,12083700
2022-11-21,25.709999,28.340000,25.059999,28.290001,28.290001,13701200
2022-11-28,27.910000,29.559999,27.850000,29.530001,29.530001,8825200
2022-12-05,29.410000,29.639999,27.270000,27.360001,27.360001,8231000
2022-12-12,27.570000,28.780001,26.139999,26.270000,26.270000,8554000
2022-12-19,26.250000,26.510000,23.750000,24.120001,24.120001,9460400
2022-12-26,24.129999,24.250000,23.260000,23.850000,23.850000,6944200
2023-01-02,24.010000,25.950001,23.549999,25.490000,25.490000,8368400
2023-01-09,25.389999,29.389999,25.120001,28.350000,28.350000,10151900
2023-01-16,27.940001,28.320000,26.030001,26.920000,26.920000,6365000
2023-01-23,27.059999,28.280001,26.530001,26.760000,26.760000,6109800
2023-01-30,26.420000,29.740000,26.370001,28.980000,28.980000,7255500
2023-02-06,28.530001,29.000000,25.930000,26.660000,26.660000,6396100
2023-02-13,26.559999,27.245001,26.400000,27.129999,27.129999,348709
