Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20/23,Friday,40.00,Gas,Travel,Debit
1/20/23,Friday,11.60,Bagels ,Food,Debit
1/20/23,Friday,6.03,Auntie Annes,Food,Debit
1/20/23,Friday,7.15,Boba,Food,Debit
1/21/23,Saturday,24.00,Saving,Financial goals and Savings,Debit
1/21/23,Saturday,10.60,Coffee,Food,Debit
1/21/23,Saturday,3.18,Lemonade ,Food,Debit
1/22/23,Sunday,17.84,Breakfast,Food,Debit
1/22/23,Sunday,6.48,Lunch @ work ,Food,Debit
1/23/23,Monday,3.99,Food ,Food,Debit
1/23/23,Monday,10.65,Food @ School,Food,Debit
1/23/23,Monday,17.34,In n Out,Food,Debit
1/23/23,Monday,12.5,Ice Cream for Brother ,Food,Debit
1/24/23,Tuesday,19.8,Starbucks ,Food,Debit
1/24/23,Tuesday,17.3,Food @ School,Food,Debit
1/25/23,Wednesday,10.21,Mcdonalds ,Food,Debit
1/25/23,Wednesday,6.6,Boba,Food,Debit
1/25/23,Wednesday,2.39,Snack @ Work,Food,Debit
1/26/23,Thursday,10.65,Food @ School,Food,Debit
1/26/23,Thursday,8.15,Spam,Food,Debit
1/27/23,Friday,48.11,Gas,Travel,Debit
1/27/23,Friday,2.75,Starbucks ,Food,Debit
1/27/23,Friday,15.31,Bagels ,Food,Debit
1/28/23,Saturday,27.93,Breakfast ,Food,Debit
1/28/23,Saturday,110.77,Jeans ,Entertainment and Recreation,Debit
1/28/23,Saturday,29.55,Trader Joes ,Food,Debit
1/28/23,Saturday,2.79,Trade Joes,Food,Debit
1/29,Sunday,6.39,Trader Joes ,Food,Debit
1/30/23,Monday,32.45, Doordash Poke,Food,Debit
1/30/23,Monday,3.99,Trader Joes ,Food,Debit
1/30/23,Monday,5.75,Boba ,Food,Debit
1/31/23,Tuesday,0.93,Drink @ Trader Joes ,Food,Debit
1/31/23,Tuesday,3.54,Safeway ,Food,Debit
2/1/23,Wednesday,13.18,Subway,Food,Debit
2/2/23,Thursday,48,Savings ,Financial goals and Savings,Debit
2/2/23,Thursday,28.91,Sushi,Food,Debit
2/2/23,Thursday,5.65,Starbucks ,Food,Debit
2/3/23,Friday,15,Subway,Food,Debit
2/3/23,Friday,8.69,Jamba Juice ,Food,Debit
2/3/23,Friday,2.49,Safeway ,Food,Debit
2/3/23,Friday,38.28,Italian Food ,Food,Debit
2/4/23,Saturday,12.65,Peets Coffee,Food,Debit
2/4/23,Saturday,30,Amazon,Entertainment and Recreation,Debit
2/4/23,Saturday,1.41,Mcdonalds ,Food,Debit
2/5/23,Sunday,17.84,Breakfast ,Food,Debit
2/5/23,Sunday,58,Amazon,Entertainment and Recreation,Debit
2/5/23,Sunday,3.72,Trader Joes ,Food,Debit
